G20 stg=?? CG=27040 rt=  0 dump=N System/common
G22 stg=?? CG=27104 rt=  0 dump=N System/select object JP
G24 stg=?? CG=29152 rt=  0 dump=N System/intro
G25 stg=?? CG=29344 rt=  0 dump=N System/endings
G26 stg=?? CG=30640 rt=  0 dump=N System/super flash
G29 stg=?? CG=30896 rt=  0 dump=N System/continue
G32 stg=?? CG=31152 rt=  0 dump=N Bonus/car smash
G33 stg=20 CG=32432 rt=  0 dump=N Bonus/misc
G34 stg=?? CG=36896 rt=  0 dump=N System/training HUD
G37 stg=?? CG=32560 rt=  0 dump=N System/win/lose
G42 stg=05 CG=34352 rt=  0 dump=N Stage 05 (Necro/Russia) sprites
G43 stg=08 CG=34384 rt=  0 dump=N Stage 08 (Elena/Kenya) sprites
G44 stg=01 CG=34448 rt=  0 dump=N Stage 01 (Alex/NY) sprites
G45 stg=03 CG=34576 rt=  0 dump=N Stage 03 (Yun/HK) sprites
G46 stg=14 CG=34672 rt=  0 dump=N Stage 14 (Akuma/Japan) sprites
G47 stg=?? CG=34704 rt=  0 dump=N Stage 06 (Hugo/Germany) sprites
G48 stg=09 CG=34736 rt=  0 dump=N Stage 09 (Oro/Brazil) sprites
G49 stg=13 CG=34832 rt=  0 dump=N Stage 13 (Urien/Egypt) sprites
G50 stg=04 CG=34864 rt=  0 dump=N Stage 04 (Dudley/England) sprites
G51 stg=16 CG=34960 rt=  0 dump=N Stage 16 (Makoto/Japan) sprites
G52 stg=00 CG=35024 rt= 99 dump=Y Stage 00 (Gill/Boss) sprites
G53 stg=07 CG=35120 rt=  0 dump=N Stage 07 (Ibuki/Japan) sprites
G54 stg=20 CG=35152 rt=  0 dump=N Stage 20 (Bonus car) sprites
G55 stg=19 CG=35184 rt=  0 dump=N Stage 19 (Remy) sprites
G56 stg=15 CG=35328 rt=  0 dump=N Stage 15 (Chun-Li/China) sprites
G58 stg=02 CG=35648 rt=  0 dump=N Stage 02 (Ryu/Japan) sprites
G59 stg=21 CG=35744 rt=  0 dump=N Stage 21 (Bonus parry) sprites
G61 stg=?? CG=35904 rt=  0 dump=N Effect/common (PPG 74)
G62 stg=?? CG=36096 rt=  0 dump=N Effect/flames
G63 stg=?? CG=36160 rt=  0 dump=N Effect/sparks
G64 stg=?? CG=36192 rt=  0 dump=N Effect/hit FX A
G65 stg=?? CG=36288 rt=  0 dump=N Effect/hit FX B
G66 stg=?? CG=36320 rt=  0 dump=N Effect/dust
G67 stg=?? CG=36352 rt=  0 dump=N Effect/shadow
G68 stg=?? CG=36384 rt=  0 dump=N Effect/projectiles A
G69 stg=?? CG=36416 rt=  0 dump=N Effect/projectiles B
G70 stg=?? CG=36448 rt=  0 dump=N Effect/guard
G71 stg=?? CG=36480 rt=  0 dump=N Effect/block
G72 stg=?? CG=36512 rt=  0 dump=N Effect/super A
G73 stg=?? CG=36544 rt=  0 dump=N Effect/super B
G74 stg=?? CG=36576 rt=  0 dump=N Effect/super C
G75 stg=?? CG=36608 rt=  0 dump=N Effect/EX moves A
G76 stg=?? CG=36640 rt=  0 dump=N Effect/EX moves B
G77 stg=?? CG=36704 rt=  0 dump=N Effect/misc A
G78 stg=?? CG=36736 rt=  0 dump=N Effect/misc B
G79 stg=?? CG=36768 rt=  0 dump=N Effect/misc C
G80 stg=?? CG=36800 rt=  0 dump=N Effect/misc D
G81 stg=?? CG=36864 rt=  0 dump=N Effect/misc E
G82 stg=?? CG=37024 rt=  0 dump=N System/menu objects
G89 stg=00 CG=37408 rt=  0 dump=Y Stage 00 (Gill/Boss) chip A
G90 stg=00 CG=37536 rt=  0 dump=Y Stage 00 (Gill/Boss) chip B
G91 stg=10 CG=34576 rt=  0 dump=N Stage 10 (Yang/HK) sprites
G92 stg=11 CG=34448 rt=  0 dump=N Stage 11 (Ken/NY) sprites
G93 stg=12 CG=34736 rt=  0 dump=N Stage 12 (Sean/Brazil) sprites
G94 stg=18 CG=34352 rt=  0 dump=N Stage 18 (Twelve) sprites
G98 stg=?? CG=27104 rt=  0 dump=N System/select object EN
